name,persona,first_year_hours,first_year_hours,first_year_hours,first_year_hours,ongoing_annual_hours,ongoing_annual_hours,ongoing_annual_hours,ongoing_annual_hours
Regulatory Analysis,Compliance Officer - Large Tech,42.0,4.47213595499958,40,50,18.0,4.472135954999579,10,20
Regulatory Analysis,E-commerce Platform Manager,40.0,,40,40,10.0,,10,10
Regulatory Analysis,Financial Services Compliance Manager,53.333333333333336,20.65591117977289,40,80,18.333333333333332,11.690451944500122,10,40
Regulatory Analysis,Healthcare Administrator,30.0,,30,30,10.0,,10,10
Regulatory Analysis,Pharmaceutical Research Director,68.0,17.88854381999832,40,80,24.0,8.94427190999916,20,40
Regulatory Analysis of RAISE Act,Pharmaceutical Research Director,40.0,,40,40,10.0,,10,10
Regulatory Compliance Assessment,Pharmaceutical Research Director,80.0,,80,80,40.0,,40,40
Regulatory Research,EdTech Startup Founder,40.0,0.0,40,40,15.0,7.0710678118654755,10,20
Regulatory Research,Real Estate Developer,30.0,,30,30,10.0,,10,10
Regulatory Review,Real Estate Developer,40.0,,40,40,10.0,,10,10
Regulatory Review of AI Models,Pharmaceutical Research Director,120.0,,120,120,60.0,,60,60
Reporting Mechanism,Compliance Officer - Large Tech,40.0,,40,40,20.0,,20,20
Reporting Mechanism,E-commerce Platform Manager,40.0,,40,40,20.0,,20,20
Reporting Mechanism Establishment,Compliance Officer - Large Tech,40.0,,40,40,20.0,,20,20
Reporting Mechanism Implementation,Financial Services Compliance Manager,30.0,,30,30,20.0,,20,20
Reporting Mechanism Setup,Compliance Officer - Large Tech,40.0,,40,40,30.0,,30,30
Reporting Mechanism Setup,Financial Services Compliance Manager,40.0,,40,40,20.0,,20,20
Reporting Mechanism Setup,Healthcare Administrator,30.0,,30,30,20.0,,20,20
Reporting Mechanisms,Financial Services Compliance Manager,35.0,7.0710678118654755,30,40,20.0,14.142135623730951,10,30
Reporting Procedures Development,Government Agency Director,30.0,,30,30,20.0,,20,20
Reporting Violations,Healthcare Administrator,20.0,,20,20,15.0,,15,15
Reporting Violations and Compliance,Government Agency Director,20.0,,20,20,15.0,,15,15
Reporting and Documentation,Compliance Officer - Large Tech,30.0,,30,30,15.0,,15,15
Reporting and Documentation,Financial Services Compliance Manager,40.0,,40,40,20.0,,20,20
Research AI Regulations,Small Business Owner,20.0,,20,20,5.0,,5,5
Review AI Models for Compliance,E-commerce Platform Manager,30.0,,30,30,20.0,,20,20
Review AI Regulation,Real Estate Developer,20.0,,20,20,5.0,,5,5
Review AI Regulation Requirements,Nonprofit Director,20.0,,20,20,5.0,,5,5
Review Regulation Details,Hospitality Chain Owner,10.0,,10,10,2.0,,2,2
Review Regulation Requirements,Compliance Officer - Large Tech,40.0,0.0,40,40,10.0,0.0,10,10
Review Regulation Requirements,E-commerce Platform Manager,40.0,0.0,40,40,10.0,0.0,10,10
Review Regulation Requirements,EdTech Startup Founder,30.0,10.0,20,40,8.333333333333334,2.886751345948129,5,10
Review Regulation Requirements,Government Agency Director,40.0,,40,40,10.0,,10,10
Review Regulation Requirements,Healthcare Administrator,30.0,14.142135623730951,20,40,10.0,0.0,10,10
Review Regulation Requirements,Hospitality Chain Owner,17.5,3.5355339059327378,15,20,5.0,0.0,5,5
Review Regulation Requirements,Manufacturing Plant Manager,20.0,0.0,20,20,10.0,0.0,10,10
Review Regulation Requirements,Nonprofit Director,15.0,0.0,15,15,5.0,0.0,5,5
Review Regulation Requirements,Real Estate Developer,23.333333333333332,5.773502691896257,20,30,10.0,0.0,10,10
Review Regulation Requirements,Small Business Owner,10.0,0.0,10,10,3.5,2.1213203435596424,2,5
Review Regulation Text,E-commerce Platform Manager,20.0,0.0,20,20,5.0,0.0,5,5
Review Regulation Text,EdTech Startup Founder,17.5,3.5355339059327378,15,20,5.0,0.0,5,5
Review Regulation Text,Government Agency Director,20.0,0.0,20,20,5.0,0.0,5,5
Review Regulation Text,Healthcare Administrator,17.5,4.183300132670378,10,20,4.5,1.2247448713915892,2,5
Review Regulation Text,Hospitality Chain Owner,10.0,0.0,10,10,2.5,1.224744871391589,2,5
Review Regulation Text,Manufacturing Plant Manager,14.285714285714286,5.3452248382484875,10,20,4.0,3.0,2,10
Review Regulation Text,Nonprofit Director,10.0,0.0,10,10,3.5,2.1213203435596424,2,5
Review Regulation Text,Real Estate Developer,20.0,,20,20,5.0,,5,5
Review Regulation Text,Small Business Owner,10.0,,10,10,5.0,,5,5
Review Regulatory Requirements,Government Agency Director,40.0,,40,40,10.0,,10,10
Review and Analyze Regulation Text,Compliance Officer - Large Tech,40.0,,40,40,10.0,,10,10
Review and Analyze Regulation Text,Financial Services Compliance Manager,40.0,,40,40,10.0,,10,10
Review and Analyze Regulation Text,Government Agency Director,40.0,,40,40,10.0,,10,10
Review and Interpret Regulation,Compliance Officer - Large Tech,40.0,,40,40,8.0,,8,8
Review and Interpret Regulation,Government Agency Director,40.0,0.0,40,40,10.0,0.0,10,10
Review and Interpret Regulation,Pharmaceutical Research Director,40.0,,40,40,20.0,,20,20
Review and Interpret Regulation Text,Government Agency Director,40.0,,40,40,20.0,,20,20
Review and Understand RAISE Act,Real Estate Developer,20.0,,20,20,10.0,,10,10
Review and Understand RAISE Act Requirements,E-commerce Platform Manager,40.0,,40,40,10.0,,10,10
Review and Understand RAISE Act Requirements,Pharmaceutical Research Director,40.0,,40,40,10.0,,10,10
Review and Understand Regulation,Government Agency Director,40.0,,40,40,10.0,,10,10
Review and Understand Regulation,Healthcare Administrator,40.0,,40,40,10.0,,10,10
Review and Understand Regulation,Hospitality Chain Owner,20.0,,20,20,5.0,,5,5
Review and Understand Regulation,Manufacturing Plant Manager,20.0,,20,20,10.0,,10,10
Review and Understand Regulation,Real Estate Developer,30.0,14.142135623730951,20,40,7.5,3.5355339059327378,5,10
Review and Understand Regulation Text,Government Agency Director,20.0,,20,20,5.0,,5,5
Risk Assessment,Pharmaceutical Research Director,70.0,,70,70,30.0,,30,30
Set Up Monitoring and Reporting Mechanisms,E-commerce Platform Manager,70.0,,70,70,30.0,,30,30
Set Up Monitoring and Reporting Mechanisms,Healthcare Administrator,20.0,,20,20,15.0,,15,15
Staff Training on AI Use,Healthcare Administrator,40.0,,40,40,20.0,,20,20
Stakeholder Communication,Compliance Officer - Large Tech,25.0,7.0710678118654755,20,30,10.0,0.0,10,10
Stakeholder Communication,E-commerce Platform Manager,20.0,,20,20,10.0,,10,10
Stakeholder Communication,Financial Services Compliance Manager,25.0,7.0710678118654755,20,30,15.0,7.0710678118654755,10,20
Stakeholder Communication Strategy,Pharmaceutical Research Director,50.0,,50,50,30.0,,30,30
Stakeholder Engagement,Compliance Officer - Large Tech,30.0,,30,30,20.0,,20,20
Stakeholder Engagement,Financial Services Compliance Manager,40.0,,40,40,30.0,,30,30
Stakeholder Engagement,Pharmaceutical Research Director,40.0,,40,40,30.0,,30,30
Train Staff on AI Safety and Education,Government Agency Director,60.0,,60,60,30.0,,30,30
Train Staff on Compliance,Healthcare Administrator,40.0,,40,40,15.0,,15,15
Training Development,Pharmaceutical Research Director,60.0,,60,60,30.0,,30,30
Training Program Design,Compliance Officer - Large Tech,50.0,0.0,50,50,36.666666666666664,5.773502691896258,30,40
Training Program Design,Financial Services Compliance Manager,54.0,5.477225575051661,50,60,28.0,4.472135954999579,20,30
Training Program Development,Compliance Officer - Large Tech,80.0,,80,80,40.0,,40,40
Training Program Development,Financial Services Compliance Manager,57.5,5.0,50,60,27.5,9.574271077563381,20,40
Training Program Development,Government Agency Director,53.333333333333336,5.773502691896258,50,60,30.0,0.0,30,30
Training Program Development,Healthcare Administrator,40.0,14.142135623730951,30,50,22.5,10.606601717798213,15,30
Training Program Development,Hospitality Chain Owner,25.0,,25,25,20.0,,20,20
Training Program Development,Pharmaceutical Research Director,60.0,,60,60,30.0,,30,30
Training Program Development,Real Estate Developer,20.0,,20,20,10.0,,10,10
Training Program Implementation,Healthcare Administrator,50.0,,50,50,40.0,,40,40
Training Program for AI Use,Government Agency Director,100.0,,100,100,60.0,,60,60
Training Programs for Employees,Compliance Officer - Large Tech,60.0,,60,60,30.0,,30,30
Training Staff on AI Compliance,Nonprofit Director,30.0,,30,30,20.0,,20,20
Training and Awareness Programs,EdTech Startup Founder,25.0,,25,25,25.0,,25,25
Training for Employees on AI Usage,Small Business Owner,30.0,,30,30,20.0,,20,20
Understand AI Regulation Requirements,Small Business Owner,18.0,4.47213595499958,10,20,6.0,2.23606797749979,5,10
Understand AI Regulations,Nonprofit Director,20.0,,20,20,10.0,,10,10
Understand AI Regulations,Small Business Owner,20.0,,20,20,10.0,,10,10
Understand AI regulations,Nonprofit Director,20.0,,20,20,5.0,,5,5
Understand Regulation Requirements,E-commerce Platform Manager,15.0,,15,15,5.0,,5,5
Understand Regulation Requirements,EdTech Startup Founder,30.0,14.142135623730951,20,40,10.0,0.0,10,10
Understand Regulation Requirements,Nonprofit Director,17.5,3.5355339059327378,15,20,7.5,3.5355339059327378,5,10
Update Policies and Procedures,Government Agency Director,20.0,,20,20,10.0,,10,10
